# Chinese word frequency list (word\trank), rank 1 = most frequent.
# Source: hermitdave/FrequencyWords (MIT license), https://github.com/hermitdave/FrequencyWords
# Derived from OpenSubtitles 2018 zh_cn corpus (content/2018/zh_cn/zh_cn_50k.txt).
# Filtered to entries consisting solely of CJK ideographs, deduplicated, top 8000 by frequency.
戴	1105
无论	1106
谋杀	1107
立刻	1108
特	1109
躺	1110
试图	1111
客气	1112
文件	1113
敢	1114
慢慢	1115
前面	1116
奶奶	1117
黑	1118
答案	1119
棒	1120
新闻	1121
多谢	1122
可不	1123
長	1124
欠	1125
一遍	1126
达	1127
权利	1128
做出	1129
历史	1130
挂	1131
好了吗	1132
意识	1133
追	1134
下午	1135
尝试	1136
乔治	1137
经过	1138
获得	1139
仍	1140
饿	1141
部分	1142
活	1143
當然	1144
队	1145
带走	1146
竟然	1147
失败	1148
一生	1149
黑暗	1150
中心	1151
麦克	1152
警告	1153
大哥	1154
显然	1155
碞	1156
根据	1157
动	1158
不過	1159
自杀	1160
这事	1161
训练	1162
万	1163
令人	1164
难	1165
街	1166
越	1167
搬	1168
好人	1169
少	1170
迟到	1171
恐怕	1172
一杯	1173
病	1174
没用	1175
讨论	1176
爆炸	1177
因	1178
美好	1179
放心	1180
长大	1181
微软	1182
令	1183
没人	1184
辛苦	1185
尽管	1186
美元	1187
吻	1188
收拾	1189
包括	1190
弗兰克	1191
面对	1192
跟我来	1193
公寓	1194
雅黑	1195
邀请	1196
求求	1197
生日	1198
留	1199
法官	1200
方向	1201
一块	1202
法国	1203
一半	1204
借	1205
确认	1206
玩笑	1207
躲	1208
金	1209
病人	1210
目的	1211
公主	1212
一会	1213
我刚	1214
最终	1215
士兵	1216
怎	1217
其它	1218
反对	1219
傻瓜	1220
晚	1221
拿走	1222
那家伙	1223
对方	1224
警方	1225
假	1226
次	1227
不介意	1228
赶快	1229
失望	1230
无	1231
出生	1232
酒店	1233
德国	1234
上班	1235
覺得	1236
要说	1237
造成	1238
破坏	1239
到达	1240
间	1241
巴黎	1242
药	1243
不见	1244
冷	1245
男朋友	1246
想起	1247
老公	1248
教堂	1249
起來	1250
做好	1251
盾	1252
就行了	1253
拯救	1254
祝	1255
字	1256
媽媽	1257
一句	1258
幹	1259
子弹	1260
节目	1261
飞	1262
玛丽	1263
方面	1264
不敢相信	1265
安娜	1266
晚餐	1267
不让	1268
越来越	1269
巨大	1270
很漂亮	1271
伦敦	1272
啤酒	1273
好看	1274
感情	1275
自然	1276
汤姆	1277
一把	1278
一步	1279
逮捕	1280
超过	1281
時	1282
赶紧	1283
炸弹	1284
全	1285
将会	1286
主人	1287
可惜	1288
算是	1289
上校	1290
家族	1291
猫	1292
哥们	1293
恶心	1294
陛下	1295
从未	1296
球	1297
彼得	1298
通常	1299
名	1300
只会	1301
撒谎	1302
兴趣	1303
旅行	1304
吹	1305
雷	1306
没想到	1307
比如	1308
人民	1309
穿着	1310
干净	1311
不少	1312
回事	1313
提	1314
滚	1315
克	1316
用来	1317
队长	1318
公平	1319
愉快	1320
不幸	1321
选	1322
好不好	1323
电脑	1324
火车	1325
有意思	1326
乔	1327
抱	1328
干得	1329
说得对	1330
爱情	1331
还给	1332
加	1333
校对	1334
一边	1335
宇宙	1336
请问	1337
一點	1338
死去	1339
心情	1340
撞	1341
明显	1342
不敢	1343
找个	1344
现场	1345
一部分	1346
失踪	1347
未	1348
毁	1349
垃圾	1350
十分	1351
愛	1352
相当	1353
這兒	1354
鱼	1355
接着	1356
不可	1357
同	1358
健康	1359
提醒	1360
包	1361
测试	1362
随时	1363
